"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ASHGV40022172",-1.79618813283333,4.43892714658333,-6.0400166880077,6.94786568931763e-05,0.00140625723325015,1.64862087688923
"ASHGV40048549",-1.2552724535,3.43173395191667,-6.03885780614265,6.95981002578029e-05,0.00140774095794901,1.64683847646159
"ASHGV40040398",-1.09382135483333,5.01380257525,-6.03024984264437,7.04921639433339e-05,0.00142299497600993,1.63359317842883
"ASHGV40044863",1.563206196,5.93352679683333,6.02948232808774,7.05724722222896e-05,0.0014236742297167,1.63241167427177
"ASHGV40040835",-1.38364898533333,9.41168360383333,-6.02845201343521,7.0680431289979e-05,0.00142491002280795,1.63082548714289
"ASHGV40011061",1.13482591433333,8.9976996985,6.02661748845577,7.08730923438893e-05,0.00142832218863722,1.62800083223953
"ASHGV40024125",-1.06623318783333,9.27049847175,-6.02297297360213,7.12574954605676e-05,0.00143417460520636,1.62238788563083
"ASHGV40029607",1.769202099,5.20109396316667,6.02128709123596,7.14360619125958e-05,0.00143587425630904,1.61979080828398
"ASHGV40021620",3.82053459233333,8.838669261,6.02025137591255,7.1545999287036e-05,0.00143713728126797,1.61819510422242
"ASHGV40059830",-1.17662304716667,3.33461334458333,-6.02001744558094,7.15708550143376e-05,0.00143716349338432,1.61783467181717
"ASHGV40010255",1.29086748333333,4.25412747966667,6.0176265463716,7.18254213182503e-05,0.00144180082583056,1.61415040601133
"ASHGV40009432",1.2415789855,7.51422647308333,6.01499389712062,7.2106840950865e-05,0.00144602295832586,1.61009267786376
"ASHGV40039221",-1.19524836266667,4.90474479133333,-5.99901506390352,7.38402461592517e-05,0.0014754509435567,1.58544328113842
"ASHGV40055284",-1.41381083133333,3.66887669333333,-5.99772998115886,7.3981564441618e-05,0.00147730726063,1.5834593048473
"ASHGV40057100",1.474728296,4.58383712433333,5.99285118714523,7.45206988663798e-05,0.00148564231545964,1.57592504330494
"ASHGV40044735",2.24561125466667,9.65345757783333,5.99175428520958,7.46424865857036e-05,0.00148709862925432,1.57423064675665
"ASHGV40050162",1.23758729233333,9.9204679805,5.98836809334046,7.50197873550869e-05,0.00149266628743294,1.56899888317246
"ASHGV40049066",1.45234415266666,11.4369860736667,5.98619744285578,7.52627138548961e-05,0.00149554928371253,1.56564431127029
"ASHGV40056952",-1.5151354705,4.07693573908333,-5.98506964568365,7.53892601126676e-05,0.00149757623994643,1.56390112466631
"ASHGV40044845",1.14548660133334,5.36599757016667,5.98417107497939,7.54902474584536e-05,0.00149860665611733,1.56251211433735
"ASHGV40034067",-1.26882667833334,11.5613410608333,-5.98319857127729,7.55997058531417e-05,0.0014998037873804,1.56100868946759
"ASHGV40016499",-1.00323200783334,10.5707063810833,-5.98250407062564,7.5677977316207e-05,0.0015008686668002,1.55993495645325
"ASHGV40027610",1.19775958033333,4.45158564483333,5.98185278730115,7.5751456338824e-05,0.00150135007197804,1.55892797749793
"ASHGV40051275",1.561348812,6.22930469133333,5.97892254458682,7.60829908150105e-05,0.00150743130892701,1.55439665146563
"ASHGV40031791",-1.24711242783333,3.30257817558333,-5.97292463650696,7.67664246390753e-05,0.00151949214958642,1.54511769432211
"ASHGV40043136",1.67470585383333,10.12229607975,5.97240848159938,7.68255421090646e-05,0.0015201692223293,1.54431894777078
